"id";"author_id"
322393300;3065230
322393300;52195
322392799;1935767
206204604;899444
326144090;2352663
168555804;275871
322392799;3065230
322392799;3065230
322392799;3065230
322392799;10393198
322392799;10393198
206204604;2352663
322392799;9109612
322392799;1935767
322392799;1935767
322392799;3065230
206203982;52195
150682650;1443911
322392799;9109612
322392799;1935767
322392799;1935767
322388988;9109612
322392799;9109612
322392799;3065230
322392799;9109612
206203982;52195
191945104;4299420
352646620;17770407
322388988;52195
322388988;3065230
322388988;9109612
322388988;52195
322388988;9109612
322388988;3065230
206203982;505333
322388988;9109612
322388988;3065230
322388988;3065230
322388988;9109612
322388988;3065230
150682650;2512748
322388988;3065230
206203982;439929
191920623;976081
150667333;718899
322388988;3065230
322388988;3065230
322388988;3065230
206203982;439929
168555804;275871
322388988;3065230
322388988;3065230
322388988;3065230
322388988;3065230
206203982;439929
184835314;598730
131348383;1538624
318444677;17607
318568529;899444
318568529;1093990
318444677;899444
318444677;899444
304873275;54666
318444677;899444
318444677;8822573
318444677;899444
318444677;8822573
264589621;275871
263754790;54666
261443603;1443911
206203982;439929
184835314;4303
352646620;17607
317970893;439929
317970893;439929
317970893;8822573
317970893;3065230
313729346;4299420
313729346;234659
206203982;505333
206203982;505333
346589005;17013303
313603644;54666
313603644;16024985
313348304;275871
313348304;275871
313348304;275871
313348304;275871
304726066;1443911
313348304;718899
313348304;842846
313348304;275871
313348304;842846
293553600;976081
290763946;8822573
288485134;17607
285232281;23313266
206203982;505333
206203982;439929
171234579;5015212
348694768;2512748
313348304;275871
313348304;275871
313348304;275871
313348304;275871
313348304;275871
326144090;2352663
171234579;5015212
313348304;275871
313348304;842846
313348304;842846
282022255;5952481
206203982;439929
